top_10,founded_year,2022_revenue,CEO,direct_competitors,market_share_percent,employee_count_range
Apple,1976,394,Tim Cook,Apple,18.0,250000
Microsoft,1972,184,Satya Nadella,Microsoft,17.0,300000
Amazon,1994,362,Jeff Bezos,Amazon,38.0,450000
Alphabet,2011,142,Sundar Pichai,Alphabet,21.0,120000
Meta,2021,78,Mark Zuckerberg,Meta,6.3,85000
Salesforce,1999,17,Marc Benioff,Salesforce,4.1,120000
NVIDIA,1993,12,Jensen Huang,NVIDIA,3.6,14000
Adobe,1982,4,Shantanu Narayen,Adobe,2.7,23000
IBM,1899,5,Ginni Rometty,IBM,0.9,65000
Oracle,1977,10,Safra Kaduri,Oracle,0.8,130000
